index,bus_i,name,lat,lon
702,5759,36059303600,40.745,-73.641
703,5760,36059303700,40.749,-73.628
704,5761,36059303800,40.75,-73.612
705,5771,36059404500,40.725,-73.697
706,5773,36059404700,40.726,-73.686
707,5775,36059404901,40.702,-73.722
708,5776,36059404902,40.704,-73.715
709,5777,36059405000,40.701,-73.703
710,5779,36059405200,40.701,-73.693
711,5782,36059405400,40.699,-73.685
712,5783,36059405500,40.703,-73.672
713,5784,36059405600,40.696,-73.673
714,5785,36059405700,40.687,-73.678
715,5788,36059406001,40.701,-73.654
716,5790,36059406100,40.708,-73.647
717,5798,36059406702,40.711,-73.635
718,5799,36059406801,40.711,-73.627
719,5800,36059406802,40.713,-73.622
720,5801,36059406900,40.716,-73.614
721,5808,36059407301,40.732,-73.598
722,5809,36059407302,40.715,-73.589
723,5811,36059407402,40.703,-73.583
724,5813,36059407502,40.694,-73.588
725,5815,36059407700,40.736,-73.568
726,5816,36059407801,40.737,-73.548
727,5817,36059407802,40.732,-73.553
728,5818,36059407900,40.707,-73.575
729,5819,36059408000,40.715,-73.568
730,5821,36059408200,40.719,-73.554
731,5836,36059409700,40.697,-73.506
732,5846,36059410700,40.653,-73.696
733,5847,36059410800,40.653,-73.707
734,5848,36059410900,40.656,-73.719
735,5849,36059411000,40.623,-73.749
736,5851,36059411200,40.625,-73.728
737,5857,36059411700,40.642,-73.694
738,5860,36059411902,40.651,-73.683
739,5862,36059412100,40.646,-73.666
740,5866,36059412400,40.661,-73.642
741,5873,36059413002,40.636,-73.653
742,5875,36059413200,40.631,-73.643
743,5877,36059413400,40.627,-73.628
744,5901,36059415102,40.647,-73.558
745,5915,36059416300,40.589,-73.724
746,5916,36059416401,40.587,-73.696
747,5918,36059416500,40.591,-73.669
748,5928,36059517200,40.856,-73.63
749,5932,36059517500,40.828,-73.635
750,5934,36059517701,40.834,-73.563
751,5935,36059517705,40.808,-73.577
752,5940,36059518000,40.865,-73.533
753,5942,36059518201,40.859,-73.492
754,5943,36059518203,40.827,-73.47
755,5944,36059518204,40.807,-73.471
756,5953,36059519000,40.752,-73.54
757,5955,36059519200,40.753,-73.514
758,5956,36059519300,40.766,-73.514
759,5959,36059519601,40.78,-73.498
760,5960,36059519602,40.777,-73.488
761,5961,36059519702,40.791,-73.46
762,5963,36059519704,40.782,-73.476
763,5967,36059520001,40.748,-73.492
764,5968,36059520002,40.742,-73.475
765,5969,36059520100,40.756,-73.454
766,5971,36059520300,40.721,-73.476
767,5993,36059522000,40.68,-73.429
768,5997,36059982100,40.793,-73.57
769,6000,36061000202,40.707,-73.978
770,6001,36061000600,40.713,-73.99
771,6003,36061000800,40.712,-73.995
772,6007,36061001200,40.716,-73.983
773,6011,36061001501,40.709,-74.003
774,6016,36061002100,40.714,-74.01
775,6017,36061002201,40.719,-73.982
776,6018,36061002202,40.721,-73.981
777,6021,36061002601,40.723,-73.98
778,6022,36061002602,40.724,-73.979
779,6024,36061002800,40.727,-73.977
780,6034,36061003700,40.726,-74.009
781,6036,36061003900,40.721,-74.012
782,6037,36061004000,40.731,-73.986
783,6041,36061004400,40.731,-73.976
784,6044,36061004800,40.734,-73.984
785,6046,36061005000,40.736,-73.987
786,6047,36061005200,40.737,-73.99
787,6049,36061005501,40.728,-73.997
788,6054,36061005900,40.731,-73.995
789,6055,36061006000,40.734,-73.974
790,6056,36061006100,40.734,-73.992
791,6057,36061006200,40.738,-73.972
792,6059,36061006400,40.737,-73.981
793,6060,36061006500,40.73,-74
794,6061,36061006600,40.74,-73.979
795,6063,36061006800,40.74,-73.984
796,6064,36061006900,40.731,-74.011
797,6065,36061007000,40.743,-73.977
798,6067,36061007200,40.745,-73.981
799,6068,36061007300,40.734,-74.004
800,6076,36061008100,40.74,-73.999
801,6077,36061008200,40.751,-73.981
802,6081,36061008603,40.754,-73.964
803,6082,36061008700,40.742,-73.997
804,6086,36061009100,40.745,-73.995
805,6090,36061009500,40.747,-73.993
806,6091,36061009600,40.756,-73.981
807,6093,36061009800,40.756,-73.968
808,6096,36061010100,40.75,-73.992
809,6100,36061010601,40.757,-73.962
810,6101,36061010602,40.76,-73.959
811,6102,36061010800,40.759,-73.965
812,6103,36061010900,40.752,-73.99
813,6109,36061011300,40.755,-73.988
814,6115,36061011800,40.765,-73.961
815,6120,36061012400,40.767,-73.954
816,6121,36061012500,40.76,-73.984
817,6122,36061012600,40.768,-73.959
818,6128,36061013200,40.77,-73.952
819,6130,36061013400,40.772,-73.956
820,6132,36061013600,40.773,-73.949
821,6134,36061013800,40.775,-73.954
822,6136,36061014000,40.776,-73.958
823,6137,36061014200,40.777,-73.961
824,6138,36061014300,40.782,-73.966
825,6140,36061014402,40.776,-73.945
826,6145,36061014801,40.779,-73.956
827,6146,36061014802,40.781,-73.954
828,6147,36061014900,40.772,-73.982
829,6148,36061015001,40.78,-73.959
830,6149,36061015002,40.782,-73.958
831,6152,36061015300,40.775,-73.981
832,6157,36061015700,40.777,-73.979
833,6158,36061015801,40.784,-73.952
834,6159,36061015802,40.787,-73.95
835,6160,36061015900,40.78,-73.986
836,6163,36061016100,40.78,-73.977
837,6165,36061016300,40.783,-73.985
838,6167,36061016500,40.782,-73.975
839,6168,36061016600,40.789,-73.948
840,6169,36061016700,40.786,-73.982
841,6171,36061016900,40.785,-73.973
842,6172,36061017000,40.791,-73.942
843,6174,36061017200,40.794,-73.945
844,6175,36061017300,40.788,-73.971
845,6178,36061017500,40.791,-73.979
846,6179,36061017700,40.79,-73.969
847,6180,36061017800,40.794,-73.933
848,6182,36061018000,40.794,-73.94
849,6183,36061018100,40.793,-73.968
850,6184,36061018200,40.798,-73.942
851,6186,36061018400,40.8,-73.945
852,6188,36061018600,40.799,-73.95
853,6189,36061018700,40.799,-73.973
854,6190,36061018800,40.798,-73.937
855,6191,36061018900,40.797,-73.964
856,6192,36061019000,40.802,-73.948
857,6193,36061019100,40.801,-73.971
858,6194,36061019200,40.8,-73.929
859,6195,36061019300,40.801,-73.962
860,6196,36061019400,40.8,-73.935
861,6198,36061019600,40.803,-73.939
862,6200,36061019702,40.802,-73.958
863,6201,36061019800,40.804,-73.942
864,6202,36061019900,40.806,-73.968
865,6206,36061020300,40.809,-73.962
866,6207,36061020500,40.811,-73.966
867,6209,36061020701,40.809,-73.958
868,6211,36061020901,40.812,-73.955
869,6213,36061021100,40.815,-73.962
870,6214,36061021200,40.814,-73.939
871,6215,36061021303,40.815,-73.953
872,6217,36061021500,40.814,-73.949
873,6218,36061021600,40.801,-73.954
874,6220,36061021800,40.803,-73.953
875,6221,36061021900,40.818,-73.959
876,6222,36061022000,40.806,-73.951
877,6225,36061022301,40.822,-73.956
878,6226,36061022302,40.821,-73.959
879,6228,36061022500,40.824,-73.955
880,6229,36061022600,40.813,-73.945
881,6232,36061022900,40.827,-73.953
882,6233,36061023000,40.818,-73.941
883,6234,36061023100,40.826,-73.944
884,6235,36061023200,40.821,-73.94
885,6236,36061023300,40.829,-73.952
886,6238,36061023501,40.829,-73.942
887,6241,36061023700,40.832,-73.95
888,6242,36061023900,40.832,-73.941
889,6243,36061024000,40.786,-73.92
890,6244,36061024100,40.835,-73.948
891,6245,36061024200,40.806,-73.933
892,6248,36061024500,40.837,-73.942
893,6249,36061024700,40.839,-73.948
894,6251,36061025100,40.84,-73.94
895,6252,36061025300,40.843,-73.938
896,6254,36061025700,40.808,-73.954
897,6257,36061026300,40.847,-73.937
898,6264,36061027700,40.855,-73.927
899,6270,36061029100,40.864,-73.924
900,6271,36061029300,40.866,-73.92
901,6275,36061030300,40.869,-73.919
902,6276,36061030700,40.871,-73.917
903,6277,36061030900,40.876,-73.91
904,6283,36063020200,43.118,-79.043
905,6284,36063020300,43.106,-79.013
906,6296,36063022000,43.083,-78.994
907,6304,36063022702,43.101,-78.766
908,6305,36063022711,43.105,-78.873
909,6309,36063022901,43.048,-78.885
910,6314,36063023300,43.034,-78.846
911,6319,36063023500,43.184,-78.69
912,6320,36063023600,43.168,-78.715
913,6329,36063024201,43.259,-78.686
914,6339,36063024502,43.253,-78.963
915,6343,36065020300,43.1,-75.234
916,6345,36065020802,43.094,-75.198
917,6346,36065020803,43.098,-75.216
918,6347,36065020900,43.102,-75.247
919,6348,36065021000,43.098,-75.224
920,6350,36065021102,43.094,-75.254
921,6352,36065021201,43.09,-75.229
922,6355,36065021302,43.089,-75.215
923,6359,36065021500,43.09,-75.237
924,6360,36065021601,43.115,-75.187
925,6363,36065021702,43.084,-75.282
926,6365,36065022000,43.225,-75.477
927,6369,36065022500,43.21,-75.431
928,6371,36065022702,43.255,-75.494
929,6376,36065023400,43.1,-75.289
930,6377,36065023501,43.109,-75.307
931,6378,36065023502,43.121,-75.336
932,6386,36065024301,43.288,-75.476
933,6387,36065024302,43.329,-75.522
934,6389,36065024400,43.384,-75.68
935,6399,36065025600,42.972,-75.439
936,6400,36065025700,42.9,-75.376
937,6401,36065025800,42.906,-75.259
938,6403,36065026100,43.154,-75.368
939,6405,36065026300,43.216,-75.458
940,6406,36065026400,43.091,-75.244
941,6409,36065026700,43.256,-75.761
942,6410,36065940000,43.07,-75.599
943,6411,36065940100,43.159,-75.619
944,6412,36065940200,43.066,-75.533
945,6413,36065980002,43.108,-75.209
946,6415,36065980100,43.228,-75.407
947,6419,36067000400,43.076,-76.138
948,6423,36067000800,43.068,-76.139
949,6425,36067001000,43.072,-76.11
950,6427,36067001500,43.061,-76.14
951,6428,36067001600,43.057,-76.138
952,6430,36067001702,43.061,-76.118
953,6432,36067001900,43.064,-76.097
954,6436,36067002400,43.054,-76.135
955,6438,36067002901,43.044,-76.182
956,6441,36067003400,43.049,-76.134
957,6442,36067003500,43.048,-76.12
958,6448,36067004200,43.039,-76.149
959,6450,36067004302,43.04,-76.135
960,6452,36067004500,43.036,-76.118
961,6457,36067005100,43.024,-76.16
962,6461,36067005500,43.021,-76.134
963,6462,36067005601,43.024,-76.121
964,6463,36067005602,43.018,-76.117
965,6465,36067005800,43.02,-76.153
966,6466,36067005900,43.017,-76.145
967,6467,36067006000,42.998,-76.156
968,6468,36067006101,43.007,-76.141
969,6486,36067011101,43.141,-76.222
970,6487,36067011102,43.132,-76.2
971,6489,36067011202,43.177,-76.24
972,6490,36067011231,43.158,-76.221
973,6491,36067011232,43.169,-76.206
974,6494,36067011300,43.213,-76.203
975,6495,36067011401,43.194,-76.303
976,6496,36067011402,43.187,-76.411
977,6498,36067011600,43.169,-76.34
978,6499,36067011700,43.149,-76.34
979,6500,36067011800,43.123,-76.296
980,6501,36067011900,43.119,-76.371
981,6502,36067012000,43.053,-76.438
982,6510,36067012800,43.092,-76.237
983,6511,36067012900,43.062,-76.215
984,6512,36067013000,43.053,-76.21
985,6514,36067013200,43.04,-76.202
986,6519,36067013701,43.089,-76.166
987,6523,36067014200,43.083,-76.129
988,6525,36067014400,43.096,-76.097
989,6526,36067014500,43.096,-76.059
990,6527,36067014600,43.05,-76.06
991,6531,36067015000,43.043,-75.992
992,6532,36067015100,43.019,-76
993,6533,36067015201,43.003,-76.007
994,6536,36067015400,43.078,-76.017
995,6537,36067015500,43.052,-76.022
996,6539,36067015700,42.923,-75.98
997,6540,36067015800,42.906,-76.103
998,6543,36067016100,42.973,-76.12
999,6544,36067016200,42.976,-76.147
1000,6549,36067016600,42.977,-76.414
1001,6550,36067016700,42.899,-76.435
1002,6554,36067016902,42.822,-75.991
1003,6558,36069050201,42.994,-77.303
1004,6559,36069050202,42.959,-77.345
1005,6560,36069050301,43.003,-77.185
1006,6575,36069051700,42.881,-76.979
1007,6583,36071000300,41.506,-74.023
1008,6584,36071000400,41.505,-74.01
1009,6585,36071000501,41.498,-74.014
1010,6586,36071000502,41.493,-74.014
1011,6587,36071000600,41.498,-74.037
1012,6591,36071001500,41.436,-74.416
1013,6595,36071002300,41.374,-74.698
1014,6598,36071010200,41.543,-74.011
1015,6604,36071010801,41.504,-74.226
1016,6608,36071011000,41.498,-74.358
1017,6613,36071011400,41.48,-74.453
1018,6615,36071011601,41.421,-74.642
1019,6616,36071011602,41.462,-74.675
1020,6621,36071011900,41.38,-74.361
1021,6625,36071012601,41.481,-74.06
1022,6627,36071012700,41.482,-74.026
1023,6628,36071012800,41.465,-74.03
1024,6630,36071013000,41.442,-74.047
1025,6631,36071013100,41.413,-74.053
1026,6637,36071013600,41.362,-74.026
1027,6638,36071013700,41.372,-73.969
1028,6642,36071014102,41.313,-74.155
1029,6645,36071014301,41.362,-74.27
1030,6650,36071014600,41.258,-74.347
1031,6652,36071014800,41.207,-74.274
1032,6658,36071015100,41.45,-74.433
1033,6665,36073040700,43.244,-78.192
1034,6666,36073040801,43.178,-78.057
1035,6673,36075020302,43.545,-76.138
1036,6674,36075020400,43.455,-76.205
1037,6675,36075020500,43.433,-76.013
1038,6676,36075020600,43.287,-75.956
1039,6679,36075020703,43.34,-76.156
1040,6682,36075020902,43.266,-76.274
1041,6683,36075021000,43.359,-76.373
1042,6687,36075021104,43.322,-76.428
1043,6688,36075021200,43.292,-76.441
1044,6689,36075021300,43.31,-76.552
1045,6690,36075021401,43.404,-76.555
1046,6691,36075021402,43.399,-76.482
1047,6694,36075021601,43.458,-76.516
1048,6695,36075021602,43.448,-76.527
1049,6696,36075021603,43.44,-76.504
1050,6697,36075021604,43.446,-76.487
1051,6698,36075021605,43.466,-76.489
1052,6699,36077590100,42.769,-74.828
1053,6701,36077590202,42.742,-74.982
1054,6705,36077590600,42.677,-74.756
1055,6717,36079010200,41.486,-73.599
1056,6720,36079010500,41.476,-73.741
1057,6721,36079010600,41.447,-73.905
1058,6722,36079010700,41.426,-73.948
1059,6723,36079010800,41.354,-73.926
1060,6724,36079010900,41.369,-73.86
1061,6725,36079011000,41.411,-73.825
1062,6726,36079011100,41.396,-73.774
1063,6727,36079011200,41.358,-73.77
1064,6729,36079011400,41.401,-73.739
1065,6732,36079011700,41.379,-73.609
1066,6733,36079011800,41.426,-73.618
1067,6734,36079011900,41.417,-73.569
1068,6735,36081000100,40.741,-73.944
1069,6737,36081000400,40.69,-73.865
1070,6739,36081000700,40.745,-73.95
1071,6741,36081001000,40.691,-73.859
1072,6742,36081001200,40.694,-73.861
1073,6746,36081001900,40.748,-73.944
1074,6750,36081002500,40.755,-73.945
1075,6770,36081005100,40.756,-73.932
1076,6772,36081005300,40.76,-73.929
1077,6774,36081005500,40.754,-73.928
1078,6775,36081005700,40.757,-73.926
1079,6777,36081005900,40.76,-73.924
1080,6778,36081006100,40.762,-73.922
1081,6779,36081006201,40.667,-73.847
1082,6781,36081006300,40.764,-73.92
1083,6782,36081006501,40.768,-73.918
1084,6784,36081006900,40.772,-73.922
1085,6785,36081007100,40.769,-73.923
1086,6786,36081007300,40.767,-73.925
1087,6787,36081007500,40.765,-73.927
1088,6794,36081008700,40.775,-73.931
1089,6795,36081008800,40.671,-73.839
1090,6796,36081009100,40.775,-73.928
1091,6800,36081009700,40.776,-73.919
1092,6802,36081009900,40.779,-73.923
1093,6804,36081010100,40.778,-73.916
1094,6805,36081010200,40.679,-73.823
1095,6806,36081010300,40.781,-73.915
1096,6810,36081010701,40.786,-73.901
1097,6815,36081011300,40.776,-73.908
1098,6817,36081011500,40.774,-73.913
1099,6819,36081011700,40.772,-73.91
1100,6821,36081011900,40.771,-73.906
1101,6823,36081012100,40.773,-73.904
1102,6824,36081012200,40.697,-73.831
1103,6825,36081012301,40.776,-73.899
1104,6827,36081012500,40.771,-73.916
1105,6834,36081013500,40.771,-73.899
1106,6836,36081013700,40.769,-73.905
1107,6839,36081014100,40.767,-73.907
1108,6841,36081014202,40.699,-73.82
1109,6842,36081014300,40.766,-73.912
1110,6844,36081014500,40.764,-73.908
1111,6845,36081014700,40.763,-73.911
1112,6847,36081014900,40.762,-73.914
1113,6849,36081015100,40.76,-73.911
1114,6860,36081016300,40.756,-73.91
1115,6864,36081016900,40.748,-73.914
1116,6866,36081017100,40.75,-73.926
1117,6871,36081017900,40.745,-73.93
1118,6879,36081018501,40.739,-73.922
1119,6880,36081018502,40.741,-73.922
1120,6884,36081018900,40.74,-73.928
1121,6890,36081019900,40.735,-73.934
1122,6897,36081021400,40.706,-73.815
1123,6898,36081021600,40.709,-73.823
1124,6899,36081021900,40.724,-73.918
1125,6900,36081022001,40.714,-73.821
1126,6901,36081022002,40.713,-73.814
1127,6904,36081023200,40.71,-73.811
1128,6905,36081023500,40.739,-73.918
1129,6907,36081023800,40.705,-73.809
1130,6909,36081024300,40.737,-73.902
1131,6910,36081024500,40.739,-73.905
1132,6913,36081024900,40.743,-73.904
1133,6914,36081025100,40.745,-73.91
1134,6915,36081025301,40.745,-73.917
1135,6918,36081025500,40.75,-73.908
1136,6919,36081025700,40.75,-73.905
1137,6921,36081025900,40.749,-73.904
1138,6923,36081026100,40.747,-73.901
1139,6925,36081026300,40.746,-73.897
1140,6927,36081026500,40.745,-73.893
1141,6929,36081026700,40.745,-73.888
1142,6930,36081026901,40.747,-73.882
1143,6933,36081027100,40.745,-73.879
1144,6939,36081027700,40.753,-73.878
1145,6943,36081028100,40.752,-73.883
1146,6945,36081028300,40.751,-73.885
1147,6948,36081028700,40.751,-73.889
1148,6951,36081029100,40.751,-73.895
1149,6953,36081029400,40.671,-73.781
1150,6955,36081029700,40.759,-73.903
1151,6958,36081030903,40.758,-73.89
1152,6959,36081030904,40.764,-73.891
1153,6960,36081031700,40.77,-73.893
1154,6963,36081032800,40.672,-73.756
1155,6964,36081032900,40.764,-73.883
1156,6966,36081033100,40.776,-73.873
1157,6968,36081033402,40.675,-73.772
1158,6971,36081034700,40.767,-73.879
1159,6972,36081035100,40.759,-73.877
1160,6973,36081035200,40.679,-73.758
1161,6975,36081035700,40.768,-73.872
1162,6978,36081036300,40.76,-73.869
1163,6980,36081036600,40.686,-73.763
1164,6981,36081036700,40.763,-73.868
1165,6983,36081037100,40.764,-73.864
1166,6984,36081037300,40.76,-73.86
1167,6985,36081037500,40.751,-73.87
1168,6987,36081037700,40.756,-73.869
1169,6989,36081038100,40.756,-73.858
1170,6990,36081038301,40.761,-73.842
1171,6997,36081040100,40.751,-73.857
1172,7003,36081040900,40.75,-73.868
1173,7004,36081041100,40.744,-73.865
1174,7007,36081041500,40.747,-73.857
1175,7010,36081042700,40.744,-73.854
1176,7013,36081043701,40.739,-73.851
1177,7015,36081043900,40.742,-73.856
1178,7018,36081044302,40.74,-73.864
1179,7019,36081044400,40.706,-73.782
1180,7026,36081045500,40.736,-73.862
1181,7042,36081047100,40.741,-73.877
1182,7045,36081047500,40.734,-73.875
1183,7048,36081047900,40.735,-73.884
1184,7050,36081048100,40.742,-73.885
1185,7052,36081048300,40.742,-73.893
1186,7054,36081048500,40.74,-73.885
1187,7055,36081048900,40.737,-73.892
1188,7058,36081049302,40.728,-73.892
1189,7061,36081049700,40.732,-73.89
1190,7062,36081049900,40.731,-73.883
1191,7072,36081051100,40.727,-73.9
1192,7075,36081051500,40.731,-73.902
1193,7077,36081051700,40.725,-73.9
1194,7080,36081052100,40.721,-73.902
1195,7087,36081053100,40.723,-73.908
1196,7090,36081053500,40.716,-73.916
1197,7096,36081054500,40.706,-73.913
1198,7097,36081054700,40.704,-73.91
1199,7099,36081054900,40.702,-73.908
1200,7100,36081055100,40.702,-73.904
1201,7102,36081055300,40.699,-73.907
1202,7106,36081055700,40.699,-73.898
1203,7108,36081055900,40.694,-73.902
1204,7119,36081058000,40.707,-73.73
1205,7121,36081058200,40.707,-73.738
1206,7127,36081059100,40.708,-73.91
1207,7128,36081059200,40.701,-73.729
1208,7131,36081059500,40.714,-73.908
1209,7134,36081059900,40.717,-73.902
1210,7136,36081060100,40.715,-73.902
1211,7137,36081060300,40.714,-73.899
1212,7139,36081060701,40.717,-73.894
1213,7143,36081061301,40.709,-73.893
1214,7144,36081061302,40.709,-73.884
1215,7149,36081061900,40.71,-73.877
1216,7157,36081062700,40.704,-73.886
1217,7158,36081062900,40.701,-73.883
1218,7164,36081063700,40.708,-73.862
1219,7169,36081064500,40.709,-73.852
1220,7172,36081065400,40.662,-73.74
1221,7175,36081065702,40.713,-73.883
1222,7176,36081065703,40.715,-73.875
1223,7177,36081065900,40.716,-73.882
1224,7179,36081066100,40.718,-73.882
1225,7180,36081066300,40.721,-73.877
1226,7183,36081066701,40.722,-73.891
1227,7185,36081067100,40.724,-73.878
1228,7186,36081067700,40.719,-73.872
1229,7189,36081068200,40.668,-73.75
1230,7191,36081068700,40.73,-73.869
1231,7193,36081069300,40.729,-73.863
1232,7196,36081069701,40.727,-73.86
1233,7200,36081070900,40.719,-73.855
1234,7201,36081071100,40.722,-73.852
1235,7202,36081071303,40.726,-73.85
1236,7203,36081071304,40.729,-73.854
1237,7204,36081071305,40.724,-73.851
1238,7205,36081071306,40.726,-73.856
1239,7206,36081071600,40.651,-73.785
1240,7207,36081071701,40.731,-73.86
1241,7212,36081072900,40.713,-73.852
1242,7214,36081073700,40.718,-73.843
1243,7216,36081074100,40.728,-73.847
1244,7217,36081074300,40.732,-73.849
1245,7218,36081074500,40.736,-73.851
1246,7221,36081075701,40.718,-73.835
1247,7225,36081077300,40.711,-73.835
1248,7226,36081077500,40.709,-73.832
1249,7227,36081077902,40.725,-73.825
1250,7228,36081077903,40.719,-73.822
1251,7229,36081077904,40.721,-73.814
1252,7238,36081079701,40.753,-73.825
1253,7239,36081079702,40.751,-73.829
1254,7240,36081079900,40.747,-73.827
1255,7243,36081080900,40.734,-73.822
1256,7244,36081081400,40.671,-73.804
1257,7248,36081084000,40.674,-73.818
1258,7252,36081084900,40.755,-73.833
1259,7259,36081086400,40.673,-73.832
1260,7261,36081086900,40.765,-73.834
1261,7265,36081089200,40.657,-73.848
1262,7266,36081090700,40.773,-73.839
1263,7269,36081091900,40.776,-73.847
1264,7270,36081092200,40.572,-73.861
1265,7271,36081092500,40.783,-73.844
1266,7272,36081092800,40.574,-73.853
1267,7274,36081093401,40.577,-73.846
1268,7275,36081093402,40.579,-73.84
1269,7276,36081093800,40.581,-73.83
1270,7279,36081094202,40.591,-73.809
1271,7280,36081094203,40.586,-73.81
1272,7281,36081094500,40.788,-73.831
1273,7282,36081094700,40.786,-73.841
1274,7283,36081095400,40.593,-73.799
1275,7284,36081096400,40.594,-73.793
1276,7286,36081097203,40.6,-73.78
1277,7287,36081097204,40.594,-73.781
1278,7290,36081098700,40.792,-73.809
1279,7293,36081099701,40.781,-73.79
1280,7297,36081099801,40.598,-73.758
1281,7301,36081100802,40.603,-73.764
1282,7302,36081101001,40.597,-73.749
1283,7303,36081101002,40.599,-73.741
1284,7304,36081101700,40.78,-73.798
1285,7313,36081108500,40.772,-73.789
1286,7317,36081111300,40.767,-73.762
1287,7329,36081116300,40.764,-73.819
1288,7332,36081117500,40.761,-73.796
1289,7348,36081122702,40.733,-73.813
1290,7359,36081130100,40.733,-73.74
1291,7375,36081144100,40.756,-73.764
1292,7382,36081147100,40.761,-73.763
1293,7384,36081148300,40.774,-73.749
1294,7413,36083051500,42.633,-73.745
1295,7416,36083051702,42.901,-73.35
1296,7433,36083052403,42.625,-73.715
1297,7434,36083052404,42.596,-73.729
1298,7435,36083052501,42.519,-73.724
1299,7442,36085000600,40.617,-74.066
1300,7444,36085000800,40.612,-74.068
1301,7451,36085002100,40.631,-74.077
1302,7452,36085002700,40.624,-74.076
1303,7453,36085002900,40.62,-74.083
1304,7457,36085004000,40.614,-74.081
1305,7458,36085004700,40.614,-74.095
1306,7460,36085005900,40.625,-74.099
1307,7465,36085007500,40.634,-74.091
1308,7468,36085009601,40.597,-74.089
1309,7469,36085009602,40.591,-74.095
1310,7470,36085009700,40.64,-74.109
1311,7471,36085010500,40.634,-74.112
1312,7474,36085011401,40.586,-74.099
1313,7475,36085011402,40.581,-74.105
1314,7477,36085012200,40.576,-74.111
1315,7486,36085013302,40.635,-74.124
1316,7487,36085013400,40.57,-74.117
1317,7488,36085013800,40.57,-74.132
1318,7492,36085014606,40.563,-74.143
1319,7495,36085014700,40.619,-74.116
1320,7496,36085015100,40.62,-74.128
1321,7505,36085017010,40.551,-74.196
1322,7508,36085017300,40.605,-74.118
1323,7510,36085017700,40.602,-74.104
1324,7513,36085018702,40.604,-74.126
1325,7514,36085018901,40.612,-74.14
1326,7515,36085018902,40.605,-74.138
1327,7519,36085020700,40.636,-74.135
1328,7523,36085021300,40.633,-74.139
1329,7525,36085022600,40.535,-74.228
1330,7526,36085022800,40.578,-74.184
1331,7527,36085023100,40.63,-74.156
1332,7528,36085023900,40.63,-74.149
1333,7531,36085024700,40.628,-74.142
1334,7534,36085027301,40.6,-74.152
1335,7536,36085027702,40.58,-74.164
1336,7541,36085029102,40.609,-74.187
1337,7542,36085029103,40.604,-74.17
1338,7543,36085029104,40.614,-74.163
1339,7545,36085030302,40.624,-74.159
1340,7548,36085032300,40.632,-74.176
1341,7549,36087010101,41.263,-74.021
1342,7550,36087010102,41.223,-73.996
1343,7553,36087010502,41.193,-74.03
1344,7557,36087010701,41.192,-73.972
1345,7561,36087010802,41.166,-73.971
1346,7563,36087010804,41.144,-73.985
1347,7564,36087010901,41.15,-73.948
1348,7565,36087010902,41.15,-73.926
1349,7566,36087011000,41.112,-73.918
1350,7567,36087011101,41.124,-73.937
1351,7568,36087011102,41.1,-73.948
1352,7569,36087011200,41.101,-73.978
1353,7570,36087011301,41.107,-74.026
1354,7571,36087011302,41.089,-74.023
1355,7574,36087011403,41.126,-73.992
1356,7577,36087011501,41.163,-74.07
1357,7578,36087011502,41.161,-74.041
1358,7579,36087011504,41.13,-74.035
1359,7581,36087011506,41.144,-74.028
1360,7582,36087011601,41.16,-74.144
1361,7583,36087011602,41.127,-74.102
1362,7584,36087011603,41.101,-74.111
1363,7585,36087011700,41.162,-74.19
1364,7588,36087011902,41.119,-74.145
1365,7603,36087012600,41.069,-74.023
1366,7604,36087012700,41.057,-74.018
1367,7605,36087012800,41.057,-73.99
1368,7606,36087013001,41.05,-73.972
1369,7607,36087013002,41.063,-73.959
1370,7608,36087013003,41.062,-73.934
1371,7609,36087013100,41.094,-73.923
1372,7610,36087013200,41.083,-73.924
1373,7611,36087013300,41.041,-73.919
1374,7612,36087013401,41.028,-73.952
1375,7613,36087013402,41.021,-73.919
1376,7614,36089490100,44.974,-74.847
1377,7619,36089490600,44.832,-74.947
1378,7627,36089491400,44.712,-75.457
1379,7633,36089492000,44.556,-75.157
1380,7635,36089492300,44.498,-74.871
1381,7638,36089492600,44.309,-75.256
1382,7642,36091060101,43.236,-73.677
1383,7645,36091060300,43.226,-73.886
1384,7646,36091060400,43.246,-73.831
1385,7647,36091060501,43.336,-73.904
1386,7652,36091060701,43.155,-73.72
1387,7653,36091060702,43.132,-73.756
1388,7657,36091061000,43.08,-73.784
1389,7659,36091061200,43.078,-73.792
1390,7661,36091061302,43.066,-73.825
1391,7662,36091061303,43.101,-73.783
1392,7670,36091061800,43.008,-73.853
1393,7672,36091061903,42.956,-73.777
1394,7681,36091062501,42.911,-73.799
1395,7687,36091062509,42.874,-73.805
1396,7697,36093020600,42.801,-73.91
1397,7706,36093021600,42.793,-73.936
1398,7707,36093021700,42.791,-73.921
1399,7711,36093032101,42.816,-73.875
1400,7722,36093032602,42.833,-74.034
1401,7733,36093033400,42.817,-73.923
1402,7736,36095740200,42.684,-74.447
1403,7738,36095740400,42.745,-74.542
1404,7739,36095740500,42.601,-74.583
1405,7743,36097950100,42.467,-76.783
1406,7744,36097950200,42.42,-76.939
1407,7746,36097950400,42.337,-76.909
1408,7748,36099950100,42.984,-76.849
1409,7751,36099950400,42.912,-76.827
1410,7752,36099950500,42.926,-76.883
1411,7754,36099950700,42.848,-76.845
1412,7755,36099950800,42.746,-76.834
1413,7758,36101960100,42.523,-77.199
1414,7760,36101960300,42.516,-77.481
1415,7763,36101960600,42.335,-77.678
